title,author,rating,slick_sheet,retrieved_date
Forever For a Year,B.T. Gottfred,4,here,06/02/2023
Foul is Fair,Hannah Capin,3,...,06/02/2023
Fred Gets Dressed,Peter Brown,1,...,06/02/2023
The Freedom Writers Diary,The Freedom Writers with Erin Gruwell,4,...,06/02/2023
Friction,E.R. Frank,2,,06/02/2023
Friday,Robert A. Heinlein,3,,06/02/2023
From Archie to Zack,Vincent Kirsch,1,,06/02/2023
From Blood and Ash,Jennifer L. Armentrout,4,here,06/02/2023
Fun Home,Alison Bechdel,4,...,06/02/2023
"Gabi, A Girl in Pieces",Isabel Quintero,3,...,06/02/2023
Gender Queer,Maia Kobabe,4,...,06/02/2023
George,Alex Gino,2,...,06/02/2023
"Get a Life, Chloe Brown",Talia Hibbert,4,...,06/02/2023
Ghost Boys,Jewell Parker Rhodes,2,...,06/02/2023
The Gift,Danielle Steel,4,...,06/02/2023
Gilded,Marissa Meyer,2,...,06/02/2023
Girl in Translation,Jean Kwok,3,...,06/02/2023
The Girl Who Knew Too Much,Tiffany Brooks,2,...,06/02/2023
Girls Who Code,Reshma Saujani,0,...,06/02/2023
Glass,Ellen Hopkins,3,...,06/02/2023
The Glass Menagerie,Tennessee Williams,2,...,06/02/2023
Go Ask Alice,Anonymous,3,...,06/02/2023
Go Back to Sleep,Zoe Foster Blake,0,...,06/02/2023
Goodnight Racism,Ibram X. Kendi,1,...,06/02/2023
Gossip Girl: Nobody Does it Better,Cecily von Ziegesar,2,...,06/02/2023
Grandpdad's Camper,Harry Woodgate,1,...,06/02/2023
Grit,Gillian French,3,...,06/02/2023
Grl2Grl,Julie Anne Peters,3,...,06/02/2023
Grow Up and Love Your Body!,Sarah P. Weston,1,...,06/02/2023
Grown,Tiffany D. Jackson,3,...,06/02/2023
Guyaholic,Carolyn Mackler,3,...,06/02/2023
Half a Chance,Cynthia Lord,0,...,06/02/2023
Half of a Yellow Sun, Chimamanda Ngozi Adichie,4,...,06/02/2023
The Handmaid's Tale,Margaret Atwood,4,...,06/02/2023
The Handmaid's Tale the graphic novel,Margaret Atwood adapted by Renee Nault,4,...,06/02/2023
The Handsome Girl and Her Beautiful Boy,B.T. Gottfred,4,...,06/02/2023
The Harvey Milk Story,Kari Krakow,1,...,06/02/2023
The Hate U Give,Angie Thomas,3,...,06/02/2023
The Haters,Jesse Andrews,4,...,06/02/2023
Haunted,Chuck Palahniuk,5,here,06/02/2023
Heartstopper: Volume 1,Alice Oseman,2,...,06/02/2023
Heartstopper: Volume 2,Alice Oseman,2,...,06/02/2023
Heartstopper: Volume 3,Alice Oseman,2,...,06/02/2023
Heartstopper: Volume 4,Alice Oseman,2,...,06/02/2023
Heather Has Two Mummies,Leslea Newman,1,...,06/02/2023
Heir of Fire,Sarah J. Maas,2,...,06/02/2023
Heroine,Mindy McGinnis,3,...,06/02/2023
He's My Mom,Sarah Savage,1,...,06/02/2023
Him,Sarina Bowen and Elle Kennedy,5,here,06/02/2023
Home Body,Rupi Kaur,3,...,06/02/2023
Homegoing,Yaa Gyasi,4,...,06/02/2023
Hooked,Catherine Greenman,3,...,06/02/2023
Ho'onani Hula Warrior,Heather Gale,1,...,06/02/2023
Hopeless,Colleen Hoover,4,here,06/02/2023
House of Earth and Blood,Sarah J. Maas,4,here ,06/02/2023
House of Sky and Breath,Sarah J. Maas,4,here,06/02/2023
How Beautiful the Ordinary,Michael Cart,4,...,06/02/2023
How Can We Live: Principles of Black Lives Matter,Lelena Garcia,1,...,06/02/2023
How It All Blew Up,Arvin Ahmadi,3,...,06/02/2023
How to Be a (Young) Antiracist,Ibram X. Kendi and Nic Stone,2,...,06/02/2023
How to Read a Book,Kwame Alexander,0,...,06/02/2023
The History of Racism in America,Duchess Harris,1,...,06/02/2023
The House on Mango Street,Sandra Cisneros,2,...,06/02/2023
The House That Wasn't There,Elena K. Arnold,0,...,06/02/2023
I Am Jazz,Jessica Herthel and Jazz Jennings,1,...,06/02/2023
I Am Margaret Moore,Hannah Capin,3,...,06/02/2023
I Am Not Your Perfect Mexican Daughter,Erika L. Sanchez,3,...,06/02/2023
I Dissent: Ruth Bader Ginsburg Makes Her Mark,Debbie Levy,1,...,06/02/2023
I Is For Immigrants,Selina Alko,1,...,06/02/2023
I Never,Laura Hopper,4,...,06/02/2023
Identical,Ellen Hopkins,4,...,06/02/2023
Identity: A Story of Transitioning,Corey Maison,2,...,06/02/2023
If I was Your Girl,Meredith Russo,2,...,06/02/2023
If There's No Tomorrow,Jennifer L. Armentrout,2,...,06/02/2023
If You Come Softly,Jacqueline Woodson,1,...,06/02/2023
I'll Give You the Sun,Jandy Nelson,3,...,06/02/2023
I'm A Girl!,Yasmeen Ismail,1,...,06/02/2023
I'm Basically a Unicorn,Melanie Hawkins,0,...,06/02/2023
I'm Not a Girl,Maddox Lyons and Jessica Verdi,1,...,06/02/2023
I'm a Unicorn,Helen Yoon,1,...,06/02/2023
Impulse,Ellen Hopkins,3,...,06/02/2023
Infandous,Elana K. Arnold,4,...,06/02/2023
The Infinite Moment of Us,Lauren Myracle,4,...,06/02/2023
Infinity Son,Adam Silvera,2,...,06/02/2023
The Ivisible Life of Addie LaRue,V.E. Schwab,3,...,06/02/2023
Invisible Monsters Remix,Chuck Palahniuk,5,here,06/02/2023
Is This Normal?,Erin Falligant and Michelle Watkins,1,...,06/02/2023
"Is This Normal? More Girls' questions, answered",Darci Johnston,1,...,06/02/2023
It Ends With Us,Colleen Hoover,4,here,06/02/2023
It Feels Good To Be Yourself,Theresa Thorn,1,,06/02/2023
It Isn't Rude to Be Nude,Rosie Haine,2,,06/02/2023
It Starts With Us,Colleen Hoover,4,here,06/02/2023
It's Not the Stork!,Robie H. Harris,2,...,06/02/2023
"It's Perfectly Normal, first edition",Robie H. Harris and Michael Emberley,3,...,06/02/2023
"It's Perfectly Normal, fifth edition",Robie H. Harris and Michael Emberley,3,...,06/02/2023
It's So Amazing!,Robie H. Harris,2,...,06/02/2023
Itty-Bitty Kitty Corn,Shannon Hale and Leuyen Pham,1,...,06/02/2023
Jack of Hearts (And Other Parts),L.C. Rosen,5,...,06/02/2023
Jack (Not Jackie),Erica Silverman,1,...,06/02/2023
Jacob's New Dress,Sarah and Ian Hoffman,1,...,06/02/2023
Jay's Gay Agenda,Jason June,3,...,06/02/2023
Jeff Pennant's Field Guide to Raising Happy Parents,Kelli McKinney,1,...,06/02/2023
Jesus Land: A Memoir,Julia Scheeres,4,...,06/02/2023
Julian is a Mermaid,Jessica Love,1,...,06/02/2023
Juliet Takes a Breath, Gabby Rivera,3,...,06/02/2023
Juliet Takes a Breath: a graphic novel, Gabby Rivera,4,...,06/02/2023
The Juneteenth Story, Alliah L. Agostini,1,...,06/02/2023
Just Help!,Sonia Sotomayor,0,...,06/02/2023
King & King,Linda de Haan and Stern Nijland,1,...,06/02/2023
Kingdom of Ash,Sarah J. Maas,4,...,06/02/2023
A Kingdom of Flesh and Fire,Jennifer L. Armentrout,4,here,06/02/2023
Kissing Kate,Lauren Myracle,2,,06/02/2023
The Kite Runner,Khaled Hosseini,4,here,06/02/2023
The Kite Runner: a Graphic Novel,Khaled Hosseini,3,...,06/02/2023
"L8r, G8r",Lauren Myracle,3,...,06/02/2023
Last Night at the Telegraph Club,Malinda Lo,4,here,06/02/2023
Layla,Colleen Hoover,4,...,06/02/2023
Laura Dean Keeps Breaking Up With Me,Mariko Tamaki,2,...,06/02/2023
Lawn Boy,Jonathan Evison,3,...,06/02/2023
A Lesson in Vengeance,Victoria Lee,3,...,06/02/2023
Let's Talk About It,Erika Moen and Matthew Nolan,4,...,06/02/2023
Let's Talk About Race,Julius Lester,0,...,06/02/2023
LGBTQ+ Rights,Virginia Loh-Hagan,2,...,06/02/2023
"Lies, Knives and Girls in Red Dresses",Ron Koertge,2,...,06/02/2023
Life is Funny,E.R. Frank,3,...,06/02/2023
Light It Up,Kekla Magoon,2,...,06/02/2023
Like A Hurricane,Jonathan Becotte,1,...,06/02/2023
Lily and Dunkin,Donna Gephart,2,...,06/02/2023
Like a Love Story,Abdi Nazemian,4,...,06/02/2023
Little and Lion,Brandy Colbert,3,...,06/02/2023
The Little Black Book for Girlz: A Book on Healthy Sexuality,St. Stephen's Community House,4,...,06/02/2023
Little One,Ariel Andres Almada,0,...,06/02/2023
"Little People, Big Dreams Laverne Cox",Maria Isabel Sanchez Vegara,1,...,06/02/2023
"Little People, Big Dreams RuPaul",Maria Isabel Sanchez Vegara,1,...,06/02/2023
Living Dead Girl,Elizabeth Scott,4,...,06/02/2023
Living Ink: Ascension,R.H. Deans,2,...,06/02/2023
Lolita,Vladimir Nabokov,3,...,06/02/2023
Long Way Down,Jason Reynolds,2,...,06/02/2023
Looking For Alaska,John Green,3,...,06/02/2023
Lord of the Flies,William Golding,1,...,06/02/2023
Losing Hope,Colleen Hoover,4,here,06/02/2023
The Love Interest,Cale Dietrich,2,...,06/02/2023
Love Lies Beneath,Ellen Hopkins,4,...,06/02/2023
Love Makes a Family,Sophie Beer,1,...,06/02/2023
A Love Story Starring My Dead Best Friend,Emily Horner,2,...,06/02/2023
"Love, Violet",Charlotte Sullivan Wild,1,...,06/02/2023
The Lovely Bones,Alice Sebold,3,...,06/02/2023
Lucky,Alice Sebold,5,here,06/02/2023
Lullaby,Chuck Palahniuk,4,here,06/02/2023
Luna,Julie Anne Peters,2,,06/02/2023
Lunch From Home,Joshua David Stein,1,,06/02/2023
Magnolia Flower,Zora Neale Hurston adapted by Ibram X. Kendi,1,...,06/02/2023
